sigma_m,d_m,W,noise_struct,direction,trials,std_emp_deg,std_eq13_deg,std_chained_theory_deg,ratio_emp_over_eq13,ratio_emp_over_chained,bias_emp_deg
0.02,2.0,10,chained,single,2000,0.07845970990969914,0.2562345156301838,0.08102846845413955,0.3062027366482425,0.9682980735851587,0.0004387145095818958
0.02,2.0,10,chained,multi,2000,0.25388923413042763,0.2562345156301838,0.2562345156301838,0.9908471288733754,0.9908471288733754,0.004626124488164111
0.02,2.0,10,indep,single,2000,0.2638243927240481,0.2562345156301838,0.2562345156301838,1.0296208224532037,1.0296208224532037,-0.005779777274808568
0.02,2.0,10,indep,multi,2000,0.251015426761586,0.2562345156301838,0.2562345156301838,0.979631593129591,0.979631593129591,-0.008765773009057272
0.02,2.0,20,chained,single,2000,0.04051307637048669,0.18118516357615333,0.040514234227069776,0.22360040728974354,0.9999714209930122,0.0013520600049965576
0.02,2.0,20,chained,multi,2000,0.17845009990389452,0.18118516357615333,0.1811851635761533,0.9849045936307624,0.9849045936307625,-0.000790802442871749
0.02,2.0,20,indep,single,2000,0.18522172257578784,0.18118516357615333,0.18118516357615333,1.022278639817757,1.022278639817757,-0.002263576349256905
0.02,2.0,20,indep,multi,2000,0.1835552762750368,0.18118516357615333,0.18118516357615333,1.0130811632260788,1.0130811632260788,0.00023854078937255458
0.02,2.0,50,chained,single,2000,0.01599204067086813,0.11459155902616465,0.01620569369082791,0.13955688190974586,0.9868161755963151,-0.00029128177630862524
0.02,2.0,50,chained,multi,2000,0.11409753237426239,0.11459155902616465,0.11459155902616465,0.9956888041658508,0.9956888041658508,-0.0035227344231240046
0.02,2.0,50,indep,single,2000,0.11619160408757502,0.11459155902616465,0.11459155902616465,1.013963027250943,1.013963027250943,0.003237856046024634
0.02,2.0,50,indep,multi,2000,0.11717141879716009,0.11459155902616465,0.11459155902616465,1.0225135236218088,1.0225135236218088,-0.00017693191121674476
0.02,2.0,100,chained,single,2000,0.007924635231945492,0.08102846845413955,0.008102846845413954,0.09780062961983138,0.9780062961983137,-4.571530125380635e-05
0.02,2.0,100,chained,multi,2000,0.07994707132898493,0.08102846845413955,0.08102846845413955,0.9866541087868806,0.9866541087868806,-0.00010989330328207418
0.02,2.0,100,indep,single,2000,0.08197287811970266,0.08102846845413955,0.08102846845413955,1.0116552821937839,1.0116552821937839,-0.001005604600428151
0.02,2.0,100,indep,multi,2000,0.08221931791699588,0.08102846845413955,0.08102846845413955,1.0146966798901096,1.0146966798901096,0.001134857968369184
0.05,0.3,1,chained,single,2000,13.599349708490811,13.504744742356593,13.504744742356593,1.0070053131650463,1.0070053131650463,0.341807559013352
0.05,0.3,1,chained,multi,2000,13.464781427513593,13.504744742356593,13.504744742356593,0.9970407945055297,0.9970407945055297,0.16112381654908473
0.05,0.3,1,indep,single,2000,13.769356568061557,13.504744742356593,13.504744742356593,1.0195939894276587,1.0195939894276587,-0.4001479069132102
0.05,0.3,1,indep,multi,2000,14.014296447122286,13.504744742356593,13.504744742356593,1.0377313095868834,1.0377313095868834,-0.041461553368768625
0.05,0.3,2,chained,single,2000,6.90136886979387,9.549296585513721,6.752372371178296,0.7227096580352571,1.0220658000514824,-0.046660671981551875
0.05,0.3,2,chained,multi,2000,9.802414912662849,9.549296585513721,9.549296585513721,1.0265064892353546,1.0265064892353546,-0.25381406648829974
0.05,0.3,2,indep,single,2000,9.604620589216548,9.549296585513721,9.549296585513721,1.0057935161199991,1.0057935161199991,-0.33377559534751833
0.05,0.3,2,indep,multi,2000,9.782826853179188,9.549296585513721,9.549296585513721,1.024455232442956,1.024455232442956,-0.19696036283559637
0.05,0.3,5,chained,single,2000,2.6614155040616816,6.039505452538445,2.7009489484713187,0.44066778728431655,0.9853631278621492,0.02350268953676786
0.05,0.3,5,chained,multi,2000,6.165581229168189,6.039505452538445,6.039505452538446,1.0208751821851165,1.0208751821851163,-0.041356068041227705
0.05,0.3,5,indep,single,2000,6.003336847785033,6.039505452538445,6.039505452538445,0.9940113300604424,0.9940113300604424,0.11133101841079886
0.05,0.3,5,indep,multi,2000,6.050681498129119,6.039505452538445,6.039505452538445,1.0018504901897185,1.0018504901897185,-0.10340301525131641
0.05,0.3,10,chained,single,2000,1.336408123794019,4.270575260503064,1.3504744742356594,0.3129339824903574,0.9895841419367801,-0.02992457788625468
0.05,0.3,10,chained,multi,2000,4.3001199788551805,4.270575260503064,4.270575260503064,1.0069182057568133,1.0069182057568133,0.04080438591116979
