t,nx01_global_err_m,nx02_global_err_m,inter_agent_err_m,nx01_theta_deg,nx02_theta_deg
1788409890.282395,0.5883377703446834,0.5886075149567142,0.003565287441273262,0.0,0.0
1788409890.2924054,0.5883377703446834,0.5886075149567142,0.003565287441273262,0.0,0.0
1788409890.302338,0.5883425769817057,0.588606538020502,0.00356326889252183,0.0,0.0
1788409890.3123114,0.5883482914453932,0.5886292715182413,0.003585644085037437,0.0,0.0
1788409890.3223417,0.5883518938257295,0.5886279717117007,0.003584081800573005,0.0,0.0
1788409890.3323662,0.5883518938257295,0.5886279717117007,0.003584081800573005,0.0,0.0
1788409890.3423448,0.5883518938257295,0.5886279717117007,0.003584081800573005,0.0,0.0
1788409890.352415,0.5883557447971097,0.5886275994480282,0.0035823315515319293,0.0,0.0
1788409890.3623176,0.5883633379177231,0.5886268601311642,0.0035787050150926114,0.0,0.0
1788409890.372364,0.5883718435652905,0.5886258835174847,0.0035742369557642257,0.0,0.0
1788409890.3829453,0.5883787657184888,0.5886253622018549,0.003571415340042388,0.0,0.0
1788409890.3924282,0.5883787657184888,0.5886253622018549,0.003571415340042388,0.0,0.0
1788409890.40238,0.5883787657184888,0.5886253622018549,0.003571415340042388,0.0,0.0
1788409890.4123213,0.588380462945916,0.5886253622018549,0.0035706445317683954,0.0,0.0
1788409890.4223573,0.5883885818247567,0.5886245652002721,0.0035671591642351544,0.0,0.0
1788409890.4323838,0.588396302383644,0.5886239978843489,0.003564479798731493,0.0,0.0
1788409890.4422662,0.5884043599957626,0.5886238665938917,0.0035624862950600264,0.0,0.0
1788409890.4522252,0.5884075793875723,0.5886238754928231,0.0035619498955513436,0.0,0.0
1788409890.4622884,0.5884075793875723,0.5886238754928231,0.0035619498955513436,0.0,0.0
1788409890.4721997,0.5884091913558631,0.5886238754928231,0.0035616170697413256,0.0,0.0
1788409890.4822,0.588417378414984,0.5886235741852391,0.0035584908099475765,0.0,0.0
1788409890.4922028,0.5882587101150177,0.5886225786168786,0.0035823313802993808,0.0,0.0
1788409890.5023074,0.5882587106459376,0.5886223570423971,0.0035823199733830404,0.0,0.0
1788409890.5123343,0.5882587106459376,0.5886223570423971,0.0035823199733830404,0.0,0.0
1788409890.522201,0.5882639863142269,0.5886213378250341,0.003582532004619934,0.0,0.0
